n adj_kahn adj_dfs tsm_kahn tsm_dfs
100 0.0019343969997862587 0.0014597999997931765 0.0024115590003930265 0.0008227220005210256
150 0.004342178999650059 0.0032573449998380966 0.0052492320000965265 0.0018393149994153646
200 0.007824704000086058 0.005768555000031483 0.009874341000795539 0.0033430690000386676
250 0.01193413800046983 0.008822640999824216 0.014375063000443333 0.005002321000574739
300 0.01744762499947683 0.01284267400023964 0.021040902999629907 0.007530111000050965
350 0.02364880700042704 0.017606759000045713 0.030238991000260285 0.01031447199966351
400 0.030997951999779616 0.023151596000388963 0.03834926200033806 0.013466135999806284
450 0.0394065620002948 0.02932042599968554 0.04928909999944153 0.017148943999927724
500 0.050133313000515045 0.036656066000432475 0.06070799299959617 0.021552801000325417
550 0.05922024000028614 0.04425596999953996 0.0737514310003462 0.02621465099946363
