n dir_50s_ham dir_50s_ham_sd dir_50s_eul dir_50s_eul_sd ndir_50s_ham ndir_50s_ham_sd ndir_50s_eul ndir_50s_eul_sd
10 5.766020003648009e-05 9.235960861170471e-05 8.424280003964668e-05 8.681403362024966e-05 0.0002346893998037558 0.0003260405776600222 5.606639988400275e-05 2.7206960413423947e-05
11 3.266039966547396e-05 2.740534882071841e-05 5.38279000465991e-05 3.403649767578092e-06 0.001574317000086012 0.0030150080147186282 5.329060004441999e-05 1.4698303549866279e-06
12 2.7445600062492302e-05 2.9025243955167605e-05 6.464340021921089e-05 8.521825465262965e-06 0.005656367299889098 0.015522444416696334 6.0901299912075045e-05 1.8941888050541745e-06
13 2.809859997796593e-05 3.636994012383087e-05 6.962099996599136e-05 2.616433917553439e-06 0.00011031870035367319 0.00025372962885646095 7.073090018820949e-05 5.421650968687257e-06
14 0.004595764799887547 0.014427923725460113 7.906889986770693e-05 5.139915638644718e-06 0.0013522312001441605 0.003837946391936694 7.96509999418049e-05 8.335274371063782e-06
15 3.815289965132251e-05 3.43332323391232e-05 0.00010931970027741044 4.4392941818694734e-05 0.011546686899964697 0.025880604338462985 9.943290024239104e-05 3.782294241777047e-05
16 0.0002619680995849194 0.0006645211921147806 9.883480015560053e-05 5.363507471888188e-06 0.0005202435999308363 0.0012442204943750828 0.00011162020018673502 4.353489977988766e-05
17 0.0003287967994765495 0.0008380091481201905 0.00010974160013574875 4.325740090405393e-06 0.0005592038000031607 0.000786462529972314 0.0001113478996558115 1.1839027669656706e-05
18 0.0005877302997760126 0.0015157829030648768 0.00012070570010109804 5.739748622870442e-06 0.0009129101999860723 0.0027292321453543647 0.00012036379994242452 2.146646320578547e-06
19 0.0004210841998428805 0.0011926049913761143 0.00013969889987492935 2.018146481398869e-05 0.0002766906001852476 0.0005344037057908664 0.00013852769989171066 1.2428973567584081e-05
