n generating_time search_time traversing_time balancing_time
50 1.631438021756197e-05 5.236821639740491e-05 0.00011834915130024764 0.0
100 1.360065235813574e-05 3.526594075926839e-05 0.00019157972386227174 0.0
150 2.440575907282021e-05 4.3414540270189394e-05 0.0004229646767715359 0.0
200 2.258225861392162e-05 7.104951230264557e-05 0.0028277032900709408 0.0
250 3.19054037072653e-06 2.9548046973091665e-05 0.00018783287618684183 0.0
300 2.123179506401093e-05 4.818468171653161e-05 0.0004256940915039058 0.0
350 5.974655085468147e-06 3.656956156981997e-05 0.00048113485290773866 0.0
400 8.109915613748424e-05 0.002027349026047221 0.003402732318638478 0.0
450 3.2223044978222286e-06 4.830841521062888e-05 0.0003507324923801803 0.0
500 5.830057576847931e-05 8.442713016456083e-05 0.00024168983412786594 0.0
