n generating_time search_time traversing_time balancing_time
50 0.010817479997058399 0.0008542000025045127 0.0021586699993349613 0.000659449998056516
100 0.0780376699869521 0.001649329994688742 0.002345959999365732 0.0018068900040816515
150 0.2592865599988727 0.00309181000047829 0.004709579999325797 0.003785689998767339
200 0.6128900800045812 0.004909790001693182 0.008187649998581037 0.006840409999131225
250 1.1922743099974469 0.006789360000402667 0.011574060001294129 0.0101268300000811
300 2.054511520001688 0.009317699997336604 0.0159594000026118 0.01592275999719277
350 3.190364349997253 0.012161299996660092 0.020949749994906598 0.02045624000020325
400 4.839086109999334 0.015952989997458644 0.027773010000237262 0.026147470003343186
450 6.834272819996113 0.01881106999644544 0.033842489999369715 0.033534480005619115
500 9.303101810000953 0.02256208000180777 0.04199586999893654 0.03962249999458436
