n adj_kahn adj_kahn_ds adj_dfs adj_dfs_sd tsm_kahn tsm_kahn_sd tsm_dfs tsm_dfs_sd
100 0.0028600400197319686 0.0006221542479018234 0.002016150008421391 0.00037686098631972313 0.003097989980597049 0.00016126665029020113 0.0010662999819032847 0.00012236748445160092
200 0.009793029993306845 0.0002744218797908703 0.007256450015120208 0.0002761336319735119 0.011827309965156019 0.00016239738320606982 0.004098869999870658 0.00015324094951250903
300 0.02251674000872299 0.0009339206822044881 0.016254090005531907 0.000149388456878967 0.027073589991778134 0.0003676583827995751 0.00919295996427536 0.00018570489940078128
400 0.04040960000129416 0.001261520638044613 0.02907354001654312 0.00024099065619901655 0.04849452999187633 0.0003359697825991262 0.016491049993783237 0.0001256860884326954
500 0.0630356700043194 0.0008688645854067065 0.04646537000080571 0.0006085395244199438 0.07717228998662903 0.001999093242407264 0.026041210000403225 0.00026076717079861073
600 0.09372036000713706 0.004919093133809071 0.0703333399957046 0.00747501300175635 0.11332939999410882 0.01055309588926116 0.0385374000063166 0.0017647106436844008
700 0.1256215800065547 0.0013920017409828759 0.09208344999933615 0.0009461340607823905 0.15060665999772027 0.001873082665297153 0.051364889997057614 0.0012493187384598056
800 0.16487198999384417 0.0020533744314303833 0.12032127002021298 0.0009087417970266523 0.19644527998752892 0.0019610654077317304 0.06763273999094963 0.0013030319078574427
900 0.2213731399970129 0.017837613323031052 0.17023180002579466 0.03279800475057356 0.2529857299872674 0.0065871424992871835 0.09030634999508039 0.005237307084702919
1000 0.2640143199823797 0.019784910476365533 0.19690705999964847 0.009505051750142582 0.3127689599990845 0.011175424633813748 0.1102959200157784 0.003175656529216407
