n generating_time search_time traversing_time balancing_time
50 4.321000014897436e-05 0.00020025999110657723 0.0005151100020157173 0.0
100 7.050000713206827e-05 0.00019532999722287058 0.0011856999946758151 0.0
150 9.968999947886913e-05 0.00023397000040858984 0.002062390005448833 0.0
200 0.00013964999525342136 0.0003046000027097762 0.005121569999027997 0.0
250 0.0001318199938395992 0.0002963500010082498 0.003991939997649752 0.0
300 0.0001834399998188019 0.0003113800019491464 0.006413370001246222 0.0
350 0.00022639000089839101 0.0003676200023619458 0.010165369996684603 0.0
400 0.00030801999673713 0.0010778299940284342 0.014018269997905008 0.0
450 0.0002577900042524561 0.0003540100093232468 0.01312331999943126 0.0
500 0.00028577999910339713 0.0004069399990839884 0.013010720000602305 0.0
